player,18sp_KDA,18sp_KPAR,18sp_WR,18su_KDA,18su_KPAR,18su_WR,19sp_KDA,19sp_KPAR,19sp_WR,19su_KDA,19su_KPAR,19su_WR,20sp_KDA,20sp_KPAR,20sp_WR,20su_KDA,20su_KPAR,20su_WR,2019_Preseason,2019_Midseason,2020_Preseason,2020_Midseason,2021_Preseason
Peanut,8.781937826185613,77.3974358974359,79.48717948717949,3.9081397138021226,69.64705882352939,67.6470588235294,2.7124773960217006,66.73863636363637,36.36363636363637,3.576422657379419,67.5219512195122,56.09756097560976, , , , , , ,0,0,1, , 
Pirean, , , ,3.235294117647059,66.3157894736842,52.63157894736842, , , , , , , , , , , , ,1, , , , 
PraY,8.333841131664855,69.07045454545454,81.81818181818181,3.866614048934491,62.040425531914885,61.702127659574465, , , ,2.6998123827392124,58.60681818181819,36.36363636363637, , , , , , ,1,1,1, , 
Proud, , , , , , ,4.153846153846154,77.91428571428573,28.57142857142857, , , , , , , , , ,1,1, , , 
Punch, , , , , , ,4.257312106627175,75.72142857142856,64.28571428571429,1.0,100.0,0.0,3.9660000000000006,78.51333333333332,46.666666666666664, , , ,0,0,1,0, 
Pyosik, , , , , , , , , , , , ,4.873191571997282,71.42363636363636,63.63636363636365,3.837871096754346,72.43584905660379,66.0377358490566, , ,1,0,0
Quad, , , , , , , , , , , , ,5.8,72.26666666666667,66.66666666666666, , , , , ,1,0, 
Rascal,4.1,60.15714285714286,57.14285714285714,15.0,65.7,100.0,3.316404316404317,56.446666666666665,66.66666666666667,2.445017182130584,61.05869565217392,50.0,3.5419704228285775,59.73404255319148,65.95744680851064,4.236000000000001,59.6921568627451,70.58823529411764,0,0,1,0,0
Rather, , , ,4.25,75.475,62.5, , , , , , , , , , , , ,0, , , , 
Ray, , , , , , , , , , , , ,1.7647058823529411,47.166666666666664,33.33333333333333, , , , , ,1,0, 
Roach,1.678924434052503,53.65609756097561,21.951219512195124, , , ,3.64443915217909,62.708,40.0,6.312292358803986,43.449999999999996,75.0,2.076923076923077,55.275000000000006,50.0, , , ,1,0,1,0, 
Route, , , , , , ,1.9423997810918041,59.582857142857144,8.571428571428571,2.18928308242973,72.80499999999998,10.0,3.5712244897959184,74.116,32.0,3.1651510048276634,64.9,40.476190476190474,1,0,1,0,0
Ruler,3.214602049854485,69.96170212765956,48.93617021276596,4.5972580645161285,72.31956521739131,60.869565217391305,4.245181857701783,75.94090909090909,36.36363636363637,5.27037099779773,78.00000000000001,54.54545454545454,6.360183143971511,66.95744680851065,65.95744680851064,6.51474084640989,66.30000000000001,70.58823529411764,0,0,0,0,0
Rush,3.4334763948497855,60.1,60.0,1.9117774880486746,60.38571428571428,57.14285714285714, , , , , , , , , , , , ,1, , , , 
Sangyoon,4.028595576841808,69.08888888888889,48.888888888888886,5.447775263951734,66.72666666666666,55.55555555555556,4.0745697896749515,69.95121951219512,48.78048780487805,4.084920891185018,63.57380952380953,35.714285714285715, , , , , , ,0,0,1,1, 
Score,4.465871182961251,77.43260869565219,63.04347826086956,3.810820942146695,71.89999999999999,68.29268292682927,2.70059724746819,74.05357142857143,32.142857142857146,2.594124387957079,68.31142857142855,37.142857142857146, , , , , , ,0,0,1, , 
Secret,1.9712621359223301,70.79268292682927,21.951219512195124, , , , , , , , , ,2.330918254843282,69.76410256410256,38.46153846153847,1.626551017949645,65.46785714285714,17.857142857142858, ,0,0,0,1
Seize, , , , , , ,1.9,54.41428571428571,14.285714285714285,1.4,84.56,20.0, , , , , , , ,0, ,0, 
Senan, , , , , , ,1.8571428571428572,69.86666666666667,33.33333333333333,2.4112415757659975,60.98571428571429,55.10204081632653, , , , , , , ,0,1,0, 
SeongHwan,3.33336805917283,77.8,51.162790697674424,3.1212776919113856,72.71777777777778,55.55555555555556, , , ,2.4,60.6,33.33333333333333, , , , , , ,0,1,1, , 
ShowMaker, , , , , , ,4.3768330112538365,70.08750000000002,56.25,6.445091017606684,70.97659574468085,59.57446808510638,4.429755820556502,69.29803921568629,50.980392156862756,15.575530586766542,70.31666666666668,88.0952380952381,0,0,0,0,0
Smeb,3.679782149605424,67.06666666666668,62.745098039215684,4.429384807665603,64.24893617021277,68.08510638297872,2.0369090235773357,60.865517241379315,27.586206896551722,1.3747545081235495,51.235,20.0, , , ,2.629733677941342,62.9,43.333333333333336,0,0,1,1,1
SnowFlower, , , , , , ,2.3918400000000006,69.5952380952381,30.952380952380953,2.054165052305308,60.877272727272725,36.36363636363637, , , , , , ,1,0,1, , 
